City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,East London,ZA,-33.0153,27.9116,67.24,85,100,20.71,light rain
201,Yulara,AU,-25.2406,130.9889,93.56,15,0,11.54,clear sky
202,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,86,36,13.91,scattered clouds
203,Leiyang,CN,26.4024,112.8591,58.96,90,100,3.56,overcast clouds
204,Borgarnes,IS,64.5383,-21.9206,45.64,71,100,23.49,overcast clouds
205,Pevek,RU,69.7008,170.3133,10.89,93,100,13.18,overcast clouds
206,Tiznit,MA,29.5833,-9.5,59.59,77,2,2.44,clear sky
207,Harrison,US,30.4091,-89.0436,69.85,86,1,0.0,clear sky
208,Senanga,ZM,-16.1167,23.2667,69.71,77,98,2.66,overcast clouds
209,Cascais,PT,38.6979,-9.4215,66.51,55,6,5.01,clear sky
210,Dikson,RU,73.5069,80.5464,12.74,87,100,9.31,overcast clouds
211,Nara,JP,34.6851,135.8049,69.49,46,69,1.36,broken clouds
212,Tiarei,PF,-17.5333,-149.3333,84.22,78,73,5.57,light rain
213,Erzin,TR,36.9559,36.2,54.12,35,7,5.23,clear sky
214,Chokurdakh,RU,70.6333,147.9167,-5.82,97,99,4.47,overcast clouds
215,Saint George,US,37.1041,-113.5841,60.64,40,20,1.99,few clouds
216,Zhigansk,RU,66.7697,123.3711,16.07,93,98,11.52,overcast clouds
217,Luwuk,ID,-0.9516,122.7875,86.86,64,24,2.89,few clouds
218,Ko Samui,TH,9.5357,99.9357,83.12,73,100,9.46,moderate rain
219,Maldonado,UY,-34.6667,-54.9167,70.23,81,0,4.68,clear sky
220,Torbay,CA,47.6666,-52.7314,39.58,87,73,4.0,broken clouds
221,Korsor,DK,55.3299,11.1386,52.25,88,100,23.6,overcast clouds
222,Hambantota,LK,6.1241,81.1185,77.77,78,97,5.35,overcast clouds
223,Coahuayana,MX,18.7333,-103.6833,81.88,88,99,1.07,overcast clouds
224,Iqaluit,CA,63.7506,-68.5145,27.7,86,100,8.99,overcast clouds
225,Tadine,NC,-21.55,167.8833,78.12,74,100,6.78,overcast clouds
226,Jamame,SO,0.0722,42.7506,76.98,86,81,7.7,broken clouds
